record_id,player_id,team_name,player_role,map_played,match_type,kills,assists,deaths,accuracy_percent,reaction_time_ms,fatigue_index,performance_score,win_probability,match_outcome,mvp_award,player_name,player_country,kd,rating,team_id,map_id,match_type_id,map_type,active_duty,best_of,match_date,date_year,date_month,date_quarter,date_day_of_week
360,104,Party Astronauts,Rifler,Nuke,Playoff,23,9,10,41.39,256.76,0.57,59.99,1,Win,No,Infinite,United States,1.14,1.11,2,4,1,Bomb Defusal,1,3,01/09/2022,2022,9,3,Thursday
361,486,Tricked,Entry Fragger,Mirage,Group Stage,12,8,14,42.98,183.88,0.29,36.59,0.83,Win,No,HECTOz,Denmark,1.05,1.03,4,1,5,Bomb Defusal,1,1,26/09/2023,2023,9,3,Tuesday
362,291,Epsilon,Rifler,Mirage,Playoff,13,13,18,58.4,221.86,0.06,49.6,0.9,Win,No,frei,United Kingdom,1.09,1.06,4,1,1,Bomb Defusal,1,3,03/03/2024,2024,3,1,Sunday
363,440,Big Frames,Rifler,Inferno,Qualifier,9,8,10,48.45,242.19,0.48,35.43,0.9,Win,No,L0NER,United States,1.06,1.04,4,2,4,Bomb Defusal,1,1,10/03/2024,2024,3,1,Sunday
364,93,Complexity,IGL,Overpass,Semi-Final,26,9,6,45.15,187.65,0.97,67.88,1,Win,Yes,poizon,Bulgaria,1.17,1.11,2,5,3,Bomb Defusal,0,3,20/03/2024,2024,3,1,Wednesday
365,309,Cloud9,Entry Fragger,Nuke,Playoff,21,6,4,53.74,175.71,0.28,68.07,1,Win,Yes,Skadoodle,United States,1.15,1.06,4,4,1,Bomb Defusal,1,3,01/12/2023,2023,12,4,Friday
366,427,Big 5,Rifler,Mirage,Semi-Final,24,7,11,50.86,213.84,0.19,67.53,1,Win,Yes,takbok,South Africa,1.1,1.04,1,1,3,Bomb Defusal,1,3,19/03/2022,2022,3,1,Saturday
367,193,SK,AWPer,Inferno,Group Stage,11,9,10,43.63,147.81,0.9,33.81,0.76,Win,No,felps,Brazil,1.09,1.08,6,2,5,Bomb Defusal,1,1,08/02/2022,2022,2,1,Tuesday
368,220,EXTREMUM,Rifler,Nuke,Semi-Final,12,3,7,30.81,218.29,0.42,31.21,0.93,Win,No,Liazz,Australia,1.14,1.07,4,4,3,Bomb Defusal,1,3,24/06/2024,2024,6,2,Monday
369,108,MVP PK,Rifler,Overpass,Final,11,7,11,44.19,205.53,0.65,33.59,0.93,Loss,No,xeta,Korea,1.16,1.1,2,5,2,Bomb Defusal,0,5,09/03/2024,2024,3,1,Saturday
370,19,TYLOO,IGL,Overpass,Semi-Final,13,11,11,56.2,208.8,0.88,45.3,0.9,Win,No,DANK1NG,China,1.24,1.16,5,5,3,Bomb Defusal,0,3,15/05/2022,2022,5,2,Sunday
371,15,ATK,Rifler,Nuke,Playoff,15,7,11,56.26,183.74,0.47,49.43,1,Win,No,MisteM,South Africa,1.22,1.17,6,4,1,Bomb Defusal,1,3,22/11/2022,2022,11,4,Tuesday
372,174,SK,Entry Fragger,Mirage,Semi-Final,7,10,8,34.79,183.42,0.03,33.09,0.82,Win,No,fer,Brazil,1.11,1.09,6,1,3,Bomb Defusal,1,3,08/05/2022,2022,5,2,Sunday
373,340,North,Rifler,Dust2,Qualifier,23,8,7,39.52,256.72,0.38,62.96,1,Win,Yes,cajunb,Denmark,1.1,1.05,4,3,4,Bomb Defusal,1,1,04/02/2022,2022,2,1,Friday
374,239,Party Astronauts,AWPer,Overpass,Playoff,12,6,12,39.71,233.84,0.49,32.96,0.96,Win,No,SideStep,United States,1.11,1.07,4,5,1,Bomb Defusal,0,3,13/12/2022,2022,12,4,Tuesday
375,133,eUnited,AWPer,Mirage,Semi-Final,14,11,11,43.62,239.16,0.73,42.51,1,Win,No,moose,Canada,1.16,1.1,1,1,3,Bomb Defusal,1,3,04/09/2022,2022,9,3,Sunday
376,16,Space Soldiers,IGL,Inferno,Group Stage,15,11,11,44.71,183.48,0.18,50.56,1,Win,No,XANTARES,Turkey,1.2,1.17,5,2,5,Bomb Defusal,1,1,23/11/2023,2023,11,4,Thursday
377,363,ATK,AWPer,Dust2,Group Stage,13,8,13,62.51,212.99,0.02,52.05,1,Loss,No,Domsterr,South Africa,1.1,1.05,3,3,5,Bomb Defusal,1,1,07/09/2022,2022,9,3,Wednesday
378,175,TYLOO,Rifler,Dust2,Qualifier,13,7,8,57.32,213.58,0.72,46.46,1,Loss,No,Summer,China,1.14,1.08,1,3,4,Bomb Defusal,1,1,24/01/2022,2022,1,1,Monday
379,401,Izako Boars,IGL,Inferno,Playoff,22,8,10,40.91,143.39,0.07,61.75,1,Win,Yes,STOMP,Poland,1.1,1.04,6,2,1,Bomb Defusal,1,3,08/02/2022,2022,2,1,Tuesday
380,224,Virtus.pro,Rifler,Nuke,Playoff,23,10,13,35.53,224.54,0.75,53.27,1,Win,No,YEKINDAR,Latvia,1.07,1.07,3,4,1,Bomb Defusal,1,3,23/05/2022,2022,5,2,Monday
381,191,Party Astronauts,IGL,Nuke,Semi-Final,11,11,9,53.58,250.37,0.05,50.29,0.99,Win,No,PwnAlone,United States,1.13,1.08,5,4,3,Bomb Defusal,1,3,13/05/2023,2023,5,2,Saturday
382,27,MVP PK,AWPer,Nuke,Final,12,10,9,54.03,198.18,0.92,42.81,1,Win,No,XigN,Korea,1.22,1.16,2,4,2,Bomb Defusal,1,5,10/03/2022,2022,3,1,Thursday
383,316,Fam143,Rifler,Inferno,Group Stage,16,9,9,36.94,221.43,0.93,41.17,0.85,Win,No,opportunity,United States,1.05,1.06,3,2,5,Bomb Defusal,1,1,16/06/2023,2023,6,2,Friday
384,178,TeamOne,Rifler,Dust2,Semi-Final,14,8,17,39.1,208,0.9,29.55,0.72,Win,No,trk,Brazil,1.13,1.08,4,3,3,Bomb Defusal,1,3,29/10/2023,2023,10,4,Sunday
385,108,MVP PK,Rifler,Overpass,Semi-Final,14,8,6,51.85,231.94,0.16,54.32,1,Win,No,xeta,Korea,1.16,1.1,2,5,3,Bomb Defusal,0,3,15/03/2022,2022,3,1,Tuesday
386,170,BIG,Entry Fragger,Inferno,Group Stage,21,5,9,47.56,237.02,0,61.78,1,Win,Yes,nex,Germany,1.13,1.09,6,2,5,Bomb Defusal,1,1,02/10/2023,2023,10,4,Monday
387,454,5POWER,Entry Fragger,Dust2,Playoff,19,7,9,40.41,211.57,0.76,48.6,1,Win,No,dobu,Mongolia,1.05,1.04,6,3,1,Bomb Defusal,1,3,03/04/2023,2023,4,2,Monday
388,478,Ghost,Rifler,Overpass,Final,7,9,10,60.6,151.92,0.64,36.9,0.85,Win,No,Subroza,Canada,1.03,1.03,6,5,2,Bomb Defusal,0,5,12/04/2024,2024,4,2,Friday
389,218,OG,Rifler,Overpass,Playoff,10,7,8,45.86,210.43,0.44,37.53,0.72,Win,No,flameZ,Israel,1.09,1.07,1,5,1,Bomb Defusal,0,3,23/11/2023,2023,11,4,Thursday
390,499,FaZe,Rifler,Dust2,Semi-Final,17,8,8,67.67,233.72,0.94,58.44,1,Win,No,rain,Norway,1.03,1.03,1,3,3,Bomb Defusal,1,3,11/08/2023,2023,8,3,Friday
391,205,OCG,IGL,Inferno,Final,14,8,10,49.08,200.52,0.98,40.74,0.95,Win,No,KmZ,United States,1.07,1.08,1,2,2,Bomb Defusal,1,5,30/05/2023,2023,5,2,Tuesday
392,219,XSET,Entry Fragger,Inferno,Qualifier,14,9,11,50.56,221.6,0.4,47.28,0.89,Win,No,mimi,Denmark,1.1,1.07,1,2,4,Bomb Defusal,1,1,23/09/2023,2023,9,3,Saturday
393,344,777,IGL,Overpass,Playoff,16,8,9,30.88,228.73,0.06,45.84,0.85,Win,No,Marcelious,Norway,1.08,1.05,5,5,1,Bomb Defusal,0,3,25/01/2023,2023,1,1,Wednesday
394,154,Echo Fox,Entry Fragger,Dust2,Playoff,8,9,10,51.56,192.36,0.09,39.88,0.84,Win,No,ryx,United States,1.14,1.09,4,3,1,Bomb Defusal,1,3,09/09/2022,2022,9,3,Friday
395,459,dreamchasers,AWPer,Overpass,Final,18,8,8,40.47,202.01,0.02,56.03,1,Win,No,emilio,Sweden,1.05,1.03,5,5,2,Bomb Defusal,0,5,25/01/2023,2023,1,1,Wednesday
396,414,FURY,Rifler,Mirage,Qualifier,12,5,12,46.74,243.52,0.12,39.17,0.76,Loss,No,oliff,Australia,1.05,1.04,2,1,4,Bomb Defusal,1,1,21/02/2022,2022,2,1,Monday
397,240,MIBR,AWPer,Nuke,Final,15,10,9,53.81,208.58,0.65,51.41,0.86,Win,No,shz,Brazil,1.12,1.07,5,4,2,Bomb Defusal,1,5,14/05/2022,2022,5,2,Saturday
398,416,Signature,Rifler,Inferno,Final,19,7,8,53.65,214.72,0.4,59.83,0.81,Win,No,Geniuss,Thailand,1.05,1.04,4,2,2,Bomb Defusal,1,5,02/03/2023,2023,3,1,Thursday
399,45,Sinners,Entry Fragger,Mirage,Group Stage,17,8,7,55.02,224.84,0.13,61.21,1,Win,Yes,oskar,Czech Republic,1.2,1.13,1,1,5,Bomb Defusal,1,1,09/02/2022,2022,2,1,Wednesday
400,254,ALTERNATE aTTaX,Rifler,Mirage,Group Stage,23,7,13,36.5,242.39,0.06,57.65,1,Win,No,Krimbo,Germany,1.11,1.07,6,1,5,Bomb Defusal,1,1,15/11/2022,2022,11,4,Tuesday
401,181,Ground Zero,Rifler,Dust2,Semi-Final,13,9,7,48.94,245.01,0.79,44.57,0.84,Win,No,2D,Australia,1.15,1.08,5,3,3,Bomb Defusal,1,3,01/06/2023,2023,6,2,Thursday
402,142,Wings Up,Entry Fragger,Overpass,Qualifier,14,4,13,31.26,235.93,0.95,25.13,0.84,Win,No,gas,China,1.09,1.09,5,5,4,Bomb Defusal,0,1,21/04/2024,2024,4,2,Sunday
403,125,ORDER,Rifler,Dust2,Semi-Final,14,9,12,44.13,208.65,0.54,41.66,0.96,Win,No,aliStair,Australia,1.17,1.1,4,3,3,Bomb Defusal,1,3,20/09/2022,2022,9,3,Tuesday
404,155,Paradox,Rifler,Overpass,Semi-Final,16,4,6,39.89,195.08,0.73,42.65,1,Loss,No,keeyto,Australia,1.13,1.09,6,5,3,Bomb Defusal,0,3,07/04/2022,2022,4,2,Thursday
405,44,Secret fe,AWPer,Nuke,Final,15,7,12,51.91,225.14,0.32,47.75,0.87,Win,No,zAAz,Sweden,1.16,1.13,4,4,2,Bomb Defusal,1,5,24/02/2022,2022,2,1,Thursday
406,436,Evil Geniuses,Rifler,Mirage,Final,16,7,9,49.47,184.67,0.69,47.84,1,Win,No,oBo,United States,1.06,1.04,6,1,2,Bomb Defusal,1,5,18/03/2023,2023,3,1,Saturday
407,59,FURIA,Rifler,Mirage,Qualifier,15,10,11,44.65,207.56,0.33,48.03,0.82,Win,No,yuurih,Brazil,1.19,1.12,6,1,4,Bomb Defusal,1,1,06/11/2023,2023,11,4,Monday
408,350,BLINK,IGL,Dust2,Final,10,5,12,41.6,286.06,0.04,33.4,0.8,Win,No,juanflatroo,Albania,1.04,1.05,4,3,2,Bomb Defusal,1,5,07/04/2024,2024,4,2,Sunday
409,365,fnatic,IGL,Mirage,Qualifier,16,13,18,63.57,238.1,0.48,53.98,1,Win,No,JW,Sweden,1.07,1.05,4,1,4,Bomb Defusal,1,1,25/04/2024,2024,4,2,Thursday
410,28,TYLOO,AWPer,Overpass,Qualifier,18,10,12,42.82,206.67,0.03,55.11,1,Win,No,BnTeT,Indonesia,1.24,1.16,1,5,4,Bomb Defusal,0,1,31/05/2022,2022,5,2,Tuesday
411,252,Torpedo,Rifler,Nuke,Playoff,16,6,17,43.92,243.17,0.99,33.06,0.91,Win,No,downie,Sweden,1.13,1.07,1,4,1,Bomb Defusal,1,3,17/08/2022,2022,8,3,Wednesday
412,309,Cloud9,IGL,Nuke,Final,21,6,13,45.75,241.19,0.21,55.77,1,Win,No,Skadoodle,United States,1.15,1.06,4,4,2,Bomb Defusal,1,5,01/11/2022,2022,11,4,Tuesday
413,56,G2,AWPer,Nuke,Qualifier,17,8,12,38.9,231.56,0.43,45.15,1,Win,No,huNter-,Bosnia and Herzegovina,1.16,1.13,4,4,4,Bomb Defusal,1,1,20/04/2024,2024,4,2,Saturday
414,358,FunPlus Phoenix,AWPer,Inferno,Semi-Final,12,8,9,38.3,220.97,0.71,35.05,1,Loss,No,Maden,Montenegro,1.05,1.05,2,2,3,Bomb Defusal,1,3,16/03/2023,2023,3,1,Thursday
415,350,BLINK,Rifler,Overpass,Final,12,7,14,44.87,240.5,0.34,36.04,0.99,Win,No,juanflatroo,Albania,1.04,1.05,3,5,2,Bomb Defusal,0,5,14/03/2024,2024,3,1,Thursday
416,11,BIG,IGL,Overpass,Playoff,11,3,6,62.67,198.48,0.11,49.23,0.96,Win,No,smooya,United Kingdom,1.26,1.18,4,5,1,Bomb Defusal,0,3,24/09/2022,2022,9,3,Saturday
417,139,Extra Salt,Entry Fragger,Dust2,Semi-Final,12,4,10,29.48,246.7,0.38,28.94,0.95,Loss,No,oSee,United States,1.16,1.09,6,3,3,Bomb Defusal,1,3,11/09/2023,2023,9,3,Monday
418,223,zARLANS,IGL,Inferno,Final,14,6,14,40.11,287.15,0.69,33.16,0.74,Win,No,flomaster,Kazakhstan,1.1,1.07,4,2,2,Bomb Defusal,1,5,07/12/2022,2022,12,4,Wednesday
419,55,mousesports,Entry Fragger,Dust2,Qualifier,14,8,8,30.63,172.5,0.23,41.02,0.88,Win,No,frozen,Slovakia,1.17,1.13,5,3,4,Bomb Defusal,1,1,02/10/2023,2023,10,4,Monday
420,287,Chiefs,Rifler,Overpass,Group Stage,7,5,9,42.13,288.76,0.65,24.57,0.93,Win,No,tucks,Australia,1.11,1.06,2,5,5,Bomb Defusal,0,1,30/01/2022,2022,1,1,Sunday
421,425,Liquid,AWPer,Mirage,Semi-Final,14,5,13,32.16,192.19,0.4,32.08,0.82,Win,No,Hiko,United States,1.1,1.04,2,1,3,Bomb Defusal,1,3,09/11/2023,2023,11,4,Thursday
422,60,Fiend,Rifler,Mirage,Group Stage,19,10,13,35.43,251.32,0.41,48.62,0.98,Win,No,dream3r,Bulgaria,1.22,1.12,1,1,5,Bomb Defusal,1,1,03/02/2023,2023,2,1,Friday
423,70,forZe,Rifler,Dust2,Qualifier,15,3,5,55.66,247.87,0.18,54.03,1,Win,No,liTTle,Russia,1.2,1.12,6,3,4,Bomb Defusal,1,1,27/11/2022,2022,11,4,Sunday
424,408,NAVI Junior,Entry Fragger,Nuke,Group Stage,11,8,9,41.43,189.9,0.62,35.52,0.82,Win,No,Aunkere,Russia,1.05,1.04,2,4,5,Bomb Defusal,1,1,02/08/2023,2023,8,3,Wednesday
425,192,VG.CyberZen,IGL,Mirage,Playoff,15,5,10,44.38,206.32,0.9,38.19,0.76,Win,No,Savage,China,1.14,1.08,6,1,1,Bomb Defusal,1,3,13/03/2023,2023,3,1,Monday
426,365,fnatic,AWPer,Overpass,Semi-Final,18,11,8,45.45,209.6,0.21,59.62,1,Win,No,JW,Sweden,1.07,1.05,2,5,3,Bomb Defusal,0,3,24/06/2022,2022,6,2,Friday
427,10,BOOT,IGL,Mirage,Group Stage,14,8,12,43.52,256.36,0.64,39.36,0.96,Win,No,d4v41,Malaysia,1.27,1.18,5,1,5,Bomb Defusal,1,1,20/06/2022,2022,6,2,Monday
428,212,Sprout,IGL,Overpass,Semi-Final,18,11,13,36.3,181.52,0.11,51.05,1,Loss,No,NaToSaphiX,Denmark,1.16,1.08,3,5,3,Bomb Defusal,0,3,26/09/2022,2022,9,3,Monday
429,441,Lemondogs,Rifler,Dust2,Group Stage,19,8,5,52.79,238.72,0.4,63.39,1,Win,Yes,Delpan,Sweden,1.05,1.04,6,3,5,Bomb Defusal,1,1,04/09/2023,2023,9,3,Monday
430,296,Rebirth,Rifler,Nuke,Final,15,6,8,39.23,168.01,0.41,43.51,1,Win,No,4pack,United States,1.06,1.06,5,4,2,Bomb Defusal,1,5,16/10/2022,2022,10,4,Sunday
431,63,Latvia,AWPer,Nuke,Final,18,8,12,61.79,178.44,0.98,53.09,1,Win,No,prelideN,Latvia,1.09,1.12,6,4,2,Bomb Defusal,1,5,06/11/2022,2022,11,4,Sunday
432,60,Fiend,Rifler,Mirage,Group Stage,8,9,12,45.58,161.74,0.97,26.09,0.76,Win,No,dream3r,Bulgaria,1.22,1.12,2,1,5,Bomb Defusal,1,1,24/08/2023,2023,8,3,Thursday
433,354,Lynn Vision,IGL,Overpass,Group Stage,17,7,11,50.9,198.82,0.61,49.35,0.99,Win,No,Westmelon,China,1.05,1.05,5,5,5,Bomb Defusal,0,1,26/07/2022,2022,7,3,Tuesday
434,454,5POWER,IGL,Inferno,Group Stage,17,9,8,47.45,259.08,0.1,57.73,1,Win,No,dobu,Mongolia,1.05,1.04,4,2,5,Bomb Defusal,1,1,09/01/2023,2023,1,1,Monday
435,405,DBL PONEY,AWPer,Nuke,Semi-Final,11,9,12,49.14,205.01,0.8,35.57,0.67,Win,No,Lucky,France,1.09,1.04,4,4,3,Bomb Defusal,1,3,04/05/2024,2024,5,2,Saturday
436,57,XSET,Rifler,Nuke,Semi-Final,17,4,6,43.97,206.81,0.94,44.59,0.89,Win,No,Petra,Netherlands,1.16,1.13,6,4,3,Bomb Defusal,1,3,03/02/2023,2023,2,1,Friday
437,222,eUnited,IGL,Mirage,Final,15,8,4,50.26,215.82,0.38,55.33,0.93,Win,No,dapr,United States,1.1,1.07,2,1,2,Bomb Defusal,1,5,08/07/2023,2023,7,3,Saturday
438,468,Funky Monkeys,Rifler,Overpass,Semi-Final,10,4,10,51.47,305.83,0.31,36.63,0.9,Loss,No,waffe,Australia,1.05,1.03,3,5,3,Bomb Defusal,0,3,09/08/2022,2022,8,3,Tuesday
439,29,mouz NXT,Rifler,Inferno,Playoff,12,7,11,43.18,177.79,0.8,33.59,0.75,Win,No,torzsi,Hungary,1.23,1.16,6,2,1,Bomb Defusal,1,3,25/02/2023,2023,2,1,Saturday
440,486,Tricked,IGL,Nuke,Group Stage,15,7,12,46.53,243.95,0.8,40.27,0.92,Win,No,HECTOz,Denmark,1.05,1.03,2,4,5,Bomb Defusal,1,1,11/05/2022,2022,5,2,Wednesday
441,399,ViCi,AWPer,Mirage,Playoff,14,7,13,35.21,262.74,0.61,33.51,0.73,Win,No,aumaN,China,1.08,1.04,1,1,1,Bomb Defusal,1,3,09/07/2022,2022,7,3,Saturday
442,72,Rooster,Rifler,Inferno,Final,9,7,8,55.34,214.08,0.02,44.47,1,Win,No,asap,Australia,1.15,1.12,5,2,2,Bomb Defusal,1,5,21/01/2023,2023,1,1,Saturday
443,345,Renewal,AWPer,Dust2,Group Stage,8,8,13,52.03,189.57,0.21,34.91,0.8,Win,No,nin9,Mongolia,1.1,1.05,5,3,5,Bomb Defusal,1,1,17/02/2024,2024,2,1,Saturday
444,9,Station7,Entry Fragger,Overpass,Playoff,14,5,14,36.81,231.92,0.21,35.3,0.78,Win,No,sterling,New Zealand,1.33,1.19,1,5,1,Bomb Defusal,0,3,20/11/2022,2022,11,4,Sunday
445,34,FURIA,Entry Fragger,Mirage,Qualifier,14,15,10,49.03,218.96,0.75,50.02,1,Win,No,KSCERATO,Brazil,1.28,1.15,4,1,4,Bomb Defusal,1,1,19/07/2023,2023,7,3,Wednesday
446,275,Mythic,IGL,Dust2,Group Stage,19,6,6,41.24,251.43,0.76,51.02,0.72,Win,No,Keiti,United States,1.06,1.06,1,3,5,Bomb Defusal,1,1,20/03/2024,2024,3,1,Wednesday
447,474,Entity,Rifler,Dust2,Playoff,14,7,6,30.88,272.23,0.51,39.34,0.94,Win,No,Excali,India,1.06,1.03,3,3,1,Bomb Defusal,1,3,04/03/2023,2023,3,1,Saturday
448,62,Legacy,Rifler,Inferno,Semi-Final,20,8,11,37.04,243.02,0.58,49.72,1,Win,No,mattcd,Australia,1.21,1.12,5,2,3,Bomb Defusal,1,3,22/10/2022,2022,10,4,Saturday
449,29,mouz NXT,Rifler,Mirage,Playoff,15,2,10,47.92,218.83,0.35,42.46,0.82,Win,No,torzsi,Hungary,1.23,1.16,5,1,1,Bomb Defusal,1,3,22/07/2022,2022,7,3,Friday
450,37,BOOT-d[S],IGL,Overpass,Final,16,4,6,43.86,197.19,0.2,49.93,0.96,Win,No,Benkai,Singapore,1.2,1.14,3,5,2,Bomb Defusal,0,5,19/04/2022,2022,4,2,Tuesday
451,150,9z,IGL,Overpass,Semi-Final,16,7,7,35.06,210.25,0.69,42.63,1,Win,No,dgt,Uruguay,1.16,1.09,3,5,3,Bomb Defusal,0,3,18/02/2022,2022,2,1,Friday
452,29,mouz NXT,Rifler,Mirage,Final,17,13,9,46.61,198.4,0.44,56.91,0.98,Win,No,torzsi,Hungary,1.23,1.16,5,1,2,Bomb Defusal,1,5,26/12/2022,2022,12,4,Monday
453,490,Natus Vincere,Rifler,Nuke,Semi-Final,11,5,16,42.85,225.24,0.51,27.32,0.71,Loss,No,flamie,Russia,1.06,1.03,4,4,3,Bomb Defusal,1,3,07/09/2022,2022,9,3,Wednesday
454,69,nerdRage,Rifler,Inferno,Semi-Final,19,9,6,40.6,212.87,0.19,59.4,1,Win,No,jOELZ,Finland,1.17,1.12,4,2,3,Bomb Defusal,1,3,14/11/2022,2022,11,4,Monday
455,413,GamerLegion,Rifler,Mirage,Group Stage,17,10,10,56.7,211.29,0.68,55.55,1,Win,No,iM,Romania,1.04,1.04,4,1,5,Bomb Defusal,1,1,02/06/2024,2024,6,2,Sunday
456,384,PACT,IGL,Nuke,Final,19,12,9,46.93,188.65,0.41,60.37,1,Win,Yes,Sobol,Poland,1.07,1.05,1,4,2,Bomb Defusal,1,5,16/02/2024,2024,2,1,Friday
457,447,4glory,Rifler,Dust2,Final,17,14,8,37.36,235.55,0.34,55.28,1,Win,No,dEE,Serbia,1.07,1.04,5,3,2,Bomb Defusal,1,5,19/02/2024,2024,2,1,Monday
458,169,Infinity,Rifler,Nuke,Semi-Final,11,8,12,43.6,156.28,0.52,34.6,0.89,Win,No,tor1towOw,Peru,1.11,1.09,6,4,3,Bomb Defusal,1,3,21/03/2022,2022,3,1,Monday
459,469,Spirit Academy,Rifler,Inferno,Final,17,12,18,54.62,220.26,0.02,55.11,0.9,Win,No,Patsi,Russia,1.04,1.03,6,2,2,Bomb Defusal,1,5,06/11/2023,2023,11,4,Monday
460,347,Invictus,IGL,Dust2,Playoff,20,7,10,50.71,255.05,0.43,58.06,1,Win,No,bottle,China,1.06,1.05,2,3,1,Bomb Defusal,1,3,09/11/2022,2022,11,4,Wednesday
461,355,Infinity,Entry Fragger,Overpass,Semi-Final,12,6,9,30.44,255.63,0.45,31.72,0.67,Win,No,Daveys,Colombia,1.09,1.05,1,5,3,Bomb Defusal,0,3,15/01/2024,2024,1,1,Monday
462,232,Keyd,Entry Fragger,Mirage,Semi-Final,14,6,6,46.43,194.08,0.71,44.12,0.9,Win,No,cqntrl,Brazil,1.1,1.07,2,1,3,Bomb Defusal,1,3,06/09/2023,2023,9,3,Wednesday
463,8,Spirit,IGL,Mirage,Playoff,15,4,11,44.35,216.38,0.19,43.27,1,Win,No,degster,Russia,1.31,1.19,3,1,1,Bomb Defusal,1,3,04/08/2022,2022,8,3,Thursday
464,386,LowLandLions,Rifler,Mirage,Final,12,12,10,38.19,245.51,0.29,42.2,0.98,Win,No,kajsk1ng,Netherlands,1.03,1.05,3,1,2,Bomb Defusal,1,5,16/10/2022,2022,10,4,Sunday
465,474,Entity,Entry Fragger,Dust2,Final,17,13,9,49.41,198,0.25,60.2,0.88,Win,Yes,Excali,India,1.06,1.03,3,3,2,Bomb Defusal,1,5,26/07/2022,2022,7,3,Tuesday
466,229,Demolition Crew,Entry Fragger,Inferno,Group Stage,8,7,5,37.94,226.92,0.2,34.97,0.77,Win,No,ayken,Germany,1.09,1.07,5,2,5,Bomb Defusal,1,1,27/02/2022,2022,2,1,Sunday
467,366,ATK,Entry Fragger,Inferno,Group Stage,12,6,12,49.58,237.88,0.13,41.49,0.8,Win,No,motm,United States,1.07,1.05,5,2,5,Bomb Defusal,1,1,19/09/2022,2022,9,3,Monday
468,148,GODSENT,Entry Fragger,Inferno,Group Stage,12,8,14,42.14,243.9,0.47,34.37,1,Win,No,zehN,Finland,1.13,1.09,4,2,5,Bomb Defusal,1,1,01/08/2022,2022,8,3,Monday
469,205,OCG,Rifler,Mirage,Final,15,5,9,45.17,186.07,0.13,47.29,1,Win,No,KmZ,United States,1.07,1.08,4,1,2,Bomb Defusal,1,5,09/10/2022,2022,10,4,Sunday
470,181,Ground Zero,Rifler,Nuke,Semi-Final,12,7,9,43.87,258.76,0.71,36.84,0.74,Win,No,2D,Australia,1.15,1.08,2,4,3,Bomb Defusal,1,3,19/02/2022,2022,2,1,Saturday
471,335,Havan Liberty,Entry Fragger,Dust2,Playoff,16,5,14,34.34,255.14,0.39,36.27,0.78,Win,No,remix,Brazil,1.08,1.05,5,3,1,Bomb Defusal,1,3,03/12/2023,2023,12,4,Sunday
472,383,HONORIS,Rifler,Overpass,Semi-Final,14,6,16,34.99,202.65,0.92,26.3,0.76,Win,No,reiko,Poland,1.02,1.05,1,5,3,Bomb Defusal,0,3,01/07/2024,2024,7,3,Monday
473,147,Heroic,AWPer,Dust2,Semi-Final,15,5,11,47.4,227.9,0.62,41.5,1,Win,No,JUGi,Denmark,1.18,1.09,4,3,3,Bomb Defusal,1,3,18/12/2022,2022,12,4,Sunday
474,81,Liquid,AWPer,Dust2,Semi-Final,17,4,5,29.39,186.22,0.21,45.59,0.81,Win,No,Twistzz,Canada,1.18,1.11,1,3,3,Bomb Defusal,1,3,20/03/2022,2022,3,1,Sunday
475,211,Cloud9,Rifler,Overpass,Semi-Final,16,7,8,44.96,231.96,0.01,53.38,0.99,Win,No,autimatic,United States,1.12,1.08,4,5,3,Bomb Defusal,0,3,15/03/2022,2022,3,1,Tuesday
476,145,Tunisia,IGL,Nuke,Qualifier,16,15,10,38.28,213.58,0.57,50.44,1,Win,No,Remind,Tunisia,1.09,1.09,4,4,4,Bomb Defusal,1,1,25/05/2023,2023,5,2,Thursday
477,258,Immortals,Rifler,Inferno,Group Stage,15,8,7,53.37,268.07,0.64,51.29,0.86,Win,No,boltz,Brazil,1.12,1.07,3,2,5,Bomb Defusal,1,1,27/09/2023,2023,9,3,Wednesday
478,352,Smoke Criminals,IGL,Nuke,Final,14,10,11,37.54,253.55,0.85,37.27,0.74,Win,No,lainNy,Latvia,1.05,1.05,3,4,2,Bomb Defusal,1,5,11/12/2022,2022,12,4,Sunday
479,346,GODSENT,Entry Fragger,Mirage,Qualifier,16,5,11,39.31,223.51,0.12,44.45,0.79,Win,No,twist,Sweden,1.08,1.05,4,1,4,Bomb Defusal,1,1,21/03/2024,2024,3,1,Thursday
480,33,Rooster,Rifler,Dust2,Playoff,8,9,12,50.33,174.65,0.2,36.16,0.92,Loss,No,nettik,New Zealand,1.2,1.15,2,3,1,Bomb Defusal,1,3,14/02/2023,2023,2,1,Tuesday
481,267,Checkmate,IGL,Nuke,Final,13,10,8,44.48,301.69,0.58,44.44,0.86,Win,No,bLitz,Mongolia,1.06,1.06,1,4,2,Bomb Defusal,1,5,06/12/2023,2023,12,4,Wednesday
482,302,CLG,Rifler,Overpass,Qualifier,8,4,12,33.74,218.68,0.31,21.77,0.83,Win,No,koosta,United States,1.08,1.06,6,5,4,Bomb Defusal,0,1,18/06/2023,2023,6,2,Sunday
483,296,Rebirth,AWPer,Mirage,Final,15,10,7,42.61,170.43,0.03,54.01,1,Win,No,4pack,United States,1.06,1.06,2,1,2,Bomb Defusal,1,5,07/07/2023,2023,7,3,Friday
